time,robot,x,y,state,carrying_task
93,2,7,5,to_dropoff,2
94,1,7,5,to_dropoff,1
94,2,7,5,to_dropoff,2
95,1,7,5,to_dropoff,1
95,2,7,5,to_dropoff,2
96,1,7,5,to_dropoff,1
96,2,7,5,to_dropoff,2
97,1,7,5,to_dropoff,1
97,2,7,5,to_dropoff,2
98,1,7,5,to_dropoff,1
98,2,7,5,to_dropoff,2
99,1,7,5,to_dropoff,1
99,2,7,5,to_dropoff,2
100,1,7,5,to_dropoff,1
100,2,7,5,to_dropoff,2
101,1,7,5,to_dropoff,1
101,2,7,5,to_dropoff,2
102,1,7,5,to_dropoff,1
102,2,7,5,to_dropoff,2
103,1,7,5,to_dropoff,1
103,2,7,5,to_dropoff,2
104,1,7,5,to_dropoff,1
104,2,7,5,to_dropoff,2
105,1,7,5,to_dropoff,1
105,2,7,5,to_dropoff,2
106,1,7,5,to_dropoff,1
106,2,7,5,to_dropoff,2
107,1,7,5,to_dropoff,1
107,2,7,5,to_dropoff,2
108,1,7,5,to_dropoff,1
108,2,7,5,to_dropoff,2
109,1,7,5,to_dropoff,1
109,2,7,5,to_dropoff,2
110,1,7,5,to_dropoff,1
110,2,7,5,to_dropoff,2
111,1,7,5,to_dropoff,1
111,2,7,5,to_dropoff,2
112,1,7,5,to_dropoff,1
112,2,7,5,to_dropoff,2
113,1,7,5,to_dropoff,1
113,2,7,5,to_dropoff,2
114,1,7,5,to_dropoff,1
114,2,7,5,to_dropoff,2
115,1,7,5,to_dropoff,1
115,2,7,5,to_dropoff,2
116,1,7,5,to_dropoff,1
116,2,7,5,to_dropoff,2
117,1,7,5,to_dropoff,1
117,2,7,5,to_dropoff,2
118,1,7,5,to_dropoff,1
118,2,7,5,to_dropoff,2
119,1,7,5,to_dropoff,1
119,2,7,5,to_dropoff,2
120,1,7,5,to_dropoff,1
120,2,7,5,to_dropoff,2
121,1,7,5,to_dropoff,1
121,2,7,5,to_dropoff,2
122,1,7,5,to_dropoff,1
122,2,7,5,to_dropoff,2
123,1,7,5,to_dropoff,1
123,2,7,5,to_dropoff,2
124,1,7,5,to_dropoff,1
124,2,7,5,to_dropoff,2
125,1,7,5,to_dropoff,1
125,2,7,5,to_dropoff,2
126,1,7,5,to_dropoff,1
126,2,7,5,to_dropoff,2
127,1,7,5,to_dropoff,1
127,2,7,5,to_dropoff,2
128,1,7,5,to_dropoff,1
128,2,7,5,to_dropoff,2
129,1,7,5,to_dropoff,1
129,2,7,5,to_dropoff,2
130,1,7,5,to_dropoff,1
130,2,7,5,to_dropoff,2
131,1,7,5,to_dropoff,1
131,2,7,5,to_dropoff,2
132,1,7,5,to_dropoff,1
132,2,7,5,to_dropoff,2
133,1,7,5,to_dropoff,1
133,2,7,5,to_dropoff,2
134,1,7,5,to_dropoff,1
134,2,7,5,to_dropoff,2
135,1,7,5,to_dropoff,1
135,2,7,5,to_dropoff,2
136,1,7,5,to_dropoff,1
136,2,7,5,to_dropoff,2
137,1,7,5,to_dropoff,1
137,2,7,5,to_dropoff,2
138,1,7,5,to_dropoff,1
138,2,7,5,to_dropoff,2
139,1,7,5,to_dropoff,1
139,2,7,5,to_dropoff,2
140,1,7,5,to_dropoff,1
140,2,7,5,to_dropoff,2
141,1,7,5,to_dropoff,1
141,2,7,5,to_dropoff,2
142,1,7,5,to_dropoff,1
142,2,7,5,to_dropoff,2
143,1,7,5,to_dropoff,1
143,2,7,5,to_dropoff,2
144,1,7,5,to_dropoff,1
144,2,7,5,to_dropoff,2
145,1,7,5,to_dropoff,1
145,2,7,5,to_dropoff,2
146,1,7,5,to_dropoff,1
146,2,7,5,to_dropoff,2
147,1,7,5,to_dropoff,1
147,2,7,5,to_dropoff,2
148,1,7,5,to_dropoff,1
148,2,7,5,to_dropoff,2
149,1,7,5,to_dropoff,1
149,2,7,5,to_dropoff,2
150,1,7,5,to_dropoff,1
150,2,7,5,to_dropoff,2
151,1,7,5,to_dropoff,1
151,2,7,5,to_dropoff,2
152,1,7,5,to_dropoff,1
152,2,7,5,to_dropoff,2
153,1,7,5,to_dropoff,1
153,2,7,5,to_dropoff,2
154,1,7,5,to_dropoff,1
154,2,7,5,to_dropoff,2
155,1,7,5,to_dropoff,1
155,2,7,5,to_dropoff,2
156,1,7,5,to_dropoff,1
156,2,7,5,to_dropoff,2
157,1,7,5,to_dropoff,1
157,2,7,5,to_dropoff,2
158,1,7,5,to_dropoff,1
158,2,7,5,to_dropoff,2
159,1,7,5,to_dropoff,1
159,2,7,5,to_dropoff,2
160,1,7,5,to_dropoff,1
160,2,7,5,to_dropoff,2
161,1,7,5,to_dropoff,1
