time,robot,pos,state,carrying_task
0,1,"(7, 2)",to_dropoff,2
0,2,"(8, 4)",to_dropoff,6
1,1,"(6, 2)",to_dropoff,2
1,2,"(8, 5)",to_dropoff,6
2,1,"(6, 3)",to_dropoff,2
2,2,"(8, 6)",to_dropoff,6
3,1,"(6, 4)",to_dropoff,2
3,2,"(8, 7)",to_dropoff,6
4,1,"(6, 5)",to_dropoff,2
4,2,"(9, 7)",to_dropoff,6
5,1,"(6, 6)",to_dropoff,2
5,2,"(10, 7)",to_dropoff,6
6,1,"(6, 7)",to_dropoff,2
6,2,"(11, 7)",to_dropoff,6
7,1,"(7, 7)",to_dropoff,2
7,2,"(11, 7)",to_dropoff,6
8,1,"(8, 7)",to_dropoff,2
8,2,"(11, 7)",to_dropoff,6
9,1,"(9, 7)",to_dropoff,2
9,2,"(11, 7)",to_dropoff,6
10,1,"(10, 7)",to_dropoff,2
10,2,"(11, 7)",to_dropoff,6
11,1,"(11, 7)",to_dropoff,2
11,2,"(11, 7)",to_dropoff,6
12,1,"(11, 7)",to_dropoff,2
12,2,"(11, 7)",to_dropoff,6
13,1,"(11, 7)",to_dropoff,2
13,2,"(11, 7)",to_dropoff,6
14,1,"(11, 7)",to_dropoff,2
14,2,"(11, 7)",to_dropoff,6
15,1,"(11, 7)",to_dropoff,2
15,2,"(11, 7)",to_dropoff,6
16,1,"(11, 7)",to_dropoff,2
16,2,"(11, 7)",to_dropoff,6
17,1,"(11, 7)",to_dropoff,2
17,2,"(11, 7)",to_dropoff,6
18,1,"(11, 7)",to_dropoff,2
18,2,"(11, 7)",to_dropoff,6
19,1,"(11, 7)",to_dropoff,2
19,2,"(11, 7)",to_dropoff,6
20,1,"(11, 7)",to_dropoff,2
20,2,"(11, 7)",to_dropoff,6
21,1,"(11, 7)",to_dropoff,2
21,2,"(11, 7)",to_dropoff,6
22,1,"(11, 7)",to_dropoff,2
22,2,"(11, 7)",to_dropoff,6
23,1,"(11, 7)",to_dropoff,2
23,2,"(11, 7)",to_dropoff,6
24,1,"(11, 7)",to_dropoff,2
24,2,"(11, 7)",to_dropoff,6
25,1,"(11, 7)",to_dropoff,2
25,2,"(11, 7)",to_dropoff,6
26,1,"(11, 7)",to_dropoff,2
26,2,"(11, 7)",to_dropoff,6
27,1,"(11, 7)",to_dropoff,2
27,2,"(11, 7)",to_dropoff,6
28,1,"(11, 7)",to_dropoff,2
28,2,"(11, 7)",to_dropoff,6
29,1,"(11, 7)",to_dropoff,2
29,2,"(11, 7)",to_dropoff,6
30,1,"(11, 7)",to_dropoff,2
30,2,"(11, 7)",to_dropoff,6
31,1,"(11, 7)",to_dropoff,2
31,2,"(11, 7)",to_dropoff,6
32,1,"(11, 7)",to_dropoff,2
32,2,"(11, 7)",to_dropoff,6
33,1,"(11, 7)",to_dropoff,2
33,2,"(11, 7)",to_dropoff,6
34,1,"(11, 7)",to_dropoff,2
34,2,"(11, 7)",to_dropoff,6
35,1,"(11, 7)",to_dropoff,2
35,2,"(11, 7)",to_dropoff,6
36,1,"(11, 7)",to_dropoff,2
36,2,"(11, 7)",to_dropoff,6
37,1,"(11, 7)",to_dropoff,2
37,2,"(11, 7)",to_dropoff,6
38,1,"(11, 7)",to_dropoff,2
38,2,"(11, 7)",to_dropoff,6
39,1,"(11, 7)",to_dropoff,2
39,2,"(11, 7)",to_dropoff,6
40,1,"(11, 7)",to_dropoff,2
40,2,"(11, 7)",to_dropoff,6
41,1,"(11, 7)",to_dropoff,2
41,2,"(11, 7)",to_dropoff,6
42,1,"(11, 7)",to_dropoff,2
42,2,"(11, 7)",to_dropoff,6
43,1,"(11, 7)",to_dropoff,2
43,2,"(11, 7)",to_dropoff,6
44,1,"(11, 7)",to_dropoff,2
44,2,"(11, 7)",to_dropoff,6
45,1,"(11, 7)",to_dropoff,2
45,2,"(11, 7)",to_dropoff,6
46,1,"(11, 7)",to_dropoff,2
46,2,"(11, 7)",to_dropoff,6
47,1,"(11, 7)",to_dropoff,2
47,2,"(11, 7)",to_dropoff,6
48,1,"(11, 7)",to_dropoff,2
48,2,"(11, 7)",to_dropoff,6
49,1,"(11, 7)",to_dropoff,2
49,2,"(11, 7)",to_dropoff,6
50,1,"(11, 7)",to_dropoff,2
50,2,"(11, 7)",to_dropoff,6
51,1,"(11, 7)",to_dropoff,2
51,2,"(11, 7)",to_dropoff,6
52,1,"(11, 7)",to_dropoff,2
52,2,"(11, 7)",to_dropoff,6
53,1,"(11, 7)",to_dropoff,2
53,2,"(11, 7)",to_dropoff,6
54,1,"(11, 7)",to_dropoff,2
54,2,"(11, 7)",to_dropoff,6
55,1,"(11, 7)",to_dropoff,2
55,2,"(11, 7)",to_dropoff,6
56,1,"(11, 7)",to_dropoff,2
56,2,"(11, 7)",to_dropoff,6
57,1,"(11, 7)",to_dropoff,2
57,2,"(11, 7)",to_dropoff,6
58,1,"(11, 7)",to_dropoff,2
58,2,"(11, 7)",to_dropoff,6
59,1,"(11, 7)",to_dropoff,2
59,2,"(11, 7)",to_dropoff,6
60,1,"(11, 7)",to_dropoff,2
60,2,"(11, 7)",to_dropoff,6
61,1,"(11, 7)",to_dropoff,2
61,2,"(11, 7)",to_dropoff,6
62,1,"(11, 7)",to_dropoff,2
62,2,"(11, 7)",to_dropoff,6
63,1,"(11, 7)",to_dropoff,2
63,2,"(11, 7)",to_dropoff,6
64,1,"(11, 7)",to_dropoff,2
64,2,"(11, 7)",to_dropoff,6
65,1,"(11, 7)",to_dropoff,2
65,2,"(11, 7)",to_dropoff,6
66,1,"(11, 7)",to_dropoff,2
66,2,"(11, 7)",to_dropoff,6
67,1,"(11, 7)",to_dropoff,2
67,2,"(11, 7)",to_dropoff,6
68,1,"(11, 7)",to_dropoff,2
68,2,"(11, 7)",to_dropoff,6
69,1,"(11, 7)",to_dropoff,2
69,2,"(11, 7)",to_dropoff,6
70,1,"(11, 7)",to_dropoff,2
70,2,"(11, 7)",to_dropoff,6
71,1,"(11, 7)",to_dropoff,2
71,2,"(11, 7)",to_dropoff,6
72,1,"(11, 7)",to_dropoff,2
72,2,"(11, 7)",to_dropoff,6
73,1,"(11, 7)",to_dropoff,2
73,2,"(11, 7)",to_dropoff,6
74,1,"(11, 7)",to_dropoff,2
74,2,"(11, 7)",to_dropoff,6
75,1,"(11, 7)",to_dropoff,2
75,2,"(11, 7)",to_dropoff,6
76,1,"(11, 7)",to_dropoff,2
76,2,"(11, 7)",to_dropoff,6
77,1,"(11, 7)",to_dropoff,2
77,2,"(11, 7)",to_dropoff,6
78,1,"(11, 7)",to_dropoff,2
78,2,"(11, 7)",to_dropoff,6
79,1,"(11, 7)",to_dropoff,2
79,2,"(11, 7)",to_dropoff,6
80,1,"(11, 7)",to_dropoff,2
80,2,"(11, 7)",to_dropoff,6
81,1,"(11, 7)",to_dropoff,2
81,2,"(11, 7)",to_dropoff,6
82,1,"(11, 7)",to_dropoff,2
82,2,"(11, 7)",to_dropoff,6
83,1,"(11, 7)",to_dropoff,2
83,2,"(11, 7)",to_dropoff,6
84,1,"(11, 7)",to_dropoff,2
84,2,"(11, 7)",to_dropoff,6
85,1,"(11, 7)",to_dropoff,2
85,2,"(11, 7)",to_dropoff,6
86,1,"(11, 7)",to_dropoff,2
86,2,"(11, 7)",to_dropoff,6
87,1,"(11, 7)",to_dropoff,2
87,2,"(11, 7)",to_dropoff,6
88,1,"(11, 7)",to_dropoff,2
88,2,"(11, 7)",to_dropoff,6
89,1,"(11, 7)",to_dropoff,2
89,2,"(11, 7)",to_dropoff,6
90,1,"(11, 7)",to_dropoff,2
90,2,"(11, 7)",to_dropoff,6
91,1,"(11, 7)",to_dropoff,2
91,2,"(11, 7)",to_dropoff,6
92,1,"(11, 7)",to_dropoff,2
92,2,"(11, 7)",to_dropoff,6
93,1,"(11, 7)",to_dropoff,2
93,2,"(11, 7)",to_dropoff,6
94,1,"(11, 7)",to_dropoff,2
94,2,"(11, 7)",to_dropoff,6
95,1,"(11, 7)",to_dropoff,2
95,2,"(11, 7)",to_dropoff,6
96,1,"(11, 7)",to_dropoff,2
96,2,"(11, 7)",to_dropoff,6
97,1,"(11, 7)",to_dropoff,2
97,2,"(11, 7)",to_dropoff,6
98,1,"(11, 7)",to_dropoff,2
98,2,"(11, 7)",to_dropoff,6
99,1,"(11, 7)",to_dropoff,2
99,2,"(11, 7)",to_dropoff,6
100,1,"(11, 7)",to_dropoff,2
100,2,"(11, 7)",to_dropoff,6
101,1,"(11, 7)",to_dropoff,2
101,2,"(11, 7)",to_dropoff,6
102,1,"(11, 7)",to_dropoff,2
102,2,"(11, 7)",to_dropoff,6
103,1,"(11, 7)",to_dropoff,2
103,2,"(11, 7)",to_dropoff,6
104,1,"(11, 7)",to_dropoff,2
104,2,"(11, 7)",to_dropoff,6
105,1,"(11, 7)",to_dropoff,2
105,2,"(11, 7)",to_dropoff,6
106,1,"(11, 7)",to_dropoff,2
106,2,"(11, 7)",to_dropoff,6
107,1,"(11, 7)",to_dropoff,2
107,2,"(11, 7)",to_dropoff,6
108,1,"(11, 7)",to_dropoff,2
108,2,"(11, 7)",to_dropoff,6
109,1,"(11, 7)",to_dropoff,2
109,2,"(11, 7)",to_dropoff,6
110,1,"(11, 7)",to_dropoff,2
110,2,"(11, 7)",to_dropoff,6
111,1,"(11, 7)",to_dropoff,2
111,2,"(11, 7)",to_dropoff,6
112,1,"(11, 7)",to_dropoff,2
112,2,"(11, 7)",to_dropoff,6
113,1,"(11, 7)",to_dropoff,2
113,2,"(11, 7)",to_dropoff,6
114,1,"(11, 7)",to_dropoff,2
114,2,"(11, 7)",to_dropoff,6
115,1,"(11, 7)",to_dropoff,2
115,2,"(11, 7)",to_dropoff,6
116,1,"(11, 7)",to_dropoff,2
116,2,"(11, 7)",to_dropoff,6
117,1,"(11, 7)",to_dropoff,2
117,2,"(11, 7)",to_dropoff,6
118,1,"(11, 7)",to_dropoff,2
118,2,"(11, 7)",to_dropoff,6
119,1,"(11, 7)",to_dropoff,2
119,2,"(11, 7)",to_dropoff,6
120,1,"(11, 7)",to_dropoff,2
120,2,"(11, 7)",to_dropoff,6
121,1,"(11, 7)",to_dropoff,2
121,2,"(11, 7)",to_dropoff,6
122,1,"(11, 7)",to_dropoff,2
122,2,"(11, 7)",to_dropoff,6
123,1,"(11, 7)",to_dropoff,2
123,2,"(11, 7)",to_dropoff,6
124,1,"(11, 7)",to_dropoff,2
124,2,"(11, 7)",to_dropoff,6
125,1,"(11, 7)",to_dropoff,2
125,2,"(11, 7)",to_dropoff,6
126,1,"(11, 7)",to_dropoff,2
126,2,"(11, 7)",to_dropoff,6
127,1,"(11, 7)",to_dropoff,2
127,2,"(11, 7)",to_dropoff,6
128,1,"(11, 7)",to_dropoff,2
128,2,"(11, 7)",to_dropoff,6
129,1,"(11, 7)",to_dropoff,2
129,2,"(11, 7)",to_dropoff,6
130,1,"(11, 7)",to_dropoff,2
130,2,"(11, 7)",to_dropoff,6
131,1,"(11, 7)",to_dropoff,2
131,2,"(11, 7)",to_dropoff,6
132,1,"(11, 7)",to_dropoff,2
132,2,"(11, 7)",to_dropoff,6
133,1,"(11, 7)",to_dropoff,2
133,2,"(11, 7)",to_dropoff,6
134,1,"(11, 7)",to_dropoff,2
134,2,"(11, 7)",to_dropoff,6
135,1,"(11, 7)",to_dropoff,2
135,2,"(11, 7)",to_dropoff,6
136,1,"(11, 7)",to_dropoff,2
136,2,"(11, 7)",to_dropoff,6
137,1,"(11, 7)",to_dropoff,2
137,2,"(11, 7)",to_dropoff,6
138,1,"(11, 7)",to_dropoff,2
138,2,"(11, 7)",to_dropoff,6
139,1,"(11, 7)",to_dropoff,2
139,2,"(11, 7)",to_dropoff,6
140,1,"(11, 7)",to_dropoff,2
140,2,"(11, 7)",to_dropoff,6
141,1,"(11, 7)",to_dropoff,2
141,2,"(11, 7)",to_dropoff,6
142,1,"(11, 7)",to_dropoff,2
142,2,"(11, 7)",to_dropoff,6
143,1,"(11, 7)",to_dropoff,2
143,2,"(11, 7)",to_dropoff,6
144,1,"(11, 7)",to_dropoff,2
144,2,"(11, 7)",to_dropoff,6
145,1,"(11, 7)",to_dropoff,2
145,2,"(11, 7)",to_dropoff,6
146,1,"(11, 7)",to_dropoff,2
146,2,"(11, 7)",to_dropoff,6
147,1,"(11, 7)",to_dropoff,2
147,2,"(11, 7)",to_dropoff,6
148,1,"(11, 7)",to_dropoff,2
148,2,"(11, 7)",to_dropoff,6
149,1,"(11, 7)",to_dropoff,2
149,2,"(11, 7)",to_dropoff,6
150,1,"(11, 7)",to_dropoff,2
150,2,"(11, 7)",to_dropoff,6
151,1,"(11, 7)",to_dropoff,2
151,2,"(11, 7)",to_dropoff,6
152,1,"(11, 7)",to_dropoff,2
152,2,"(11, 7)",to_dropoff,6
153,1,"(11, 7)",to_dropoff,2
153,2,"(11, 7)",to_dropoff,6
154,1,"(11, 7)",to_dropoff,2
154,2,"(11, 7)",to_dropoff,6
155,1,"(11, 7)",to_dropoff,2
155,2,"(11, 7)",to_dropoff,6
156,1,"(11, 7)",to_dropoff,2
156,2,"(11, 7)",to_dropoff,6
157,1,"(11, 7)",to_dropoff,2
157,2,"(11, 7)",to_dropoff,6
158,1,"(11, 7)",to_dropoff,2
158,2,"(11, 7)",to_dropoff,6
159,1,"(11, 7)",to_dropoff,2
159,2,"(11, 7)",to_dropoff,6
160,1,"(11, 7)",to_dropoff,2
160,2,"(11, 7)",to_dropoff,6
161,1,"(11, 7)",to_dropoff,2
161,2,"(11, 7)",to_dropoff,6
162,1,"(11, 7)",to_dropoff,2
162,2,"(11, 7)",to_dropoff,6
163,1,"(11, 7)",to_dropoff,2
163,2,"(11, 7)",to_dropoff,6
164,1,"(11, 7)",to_dropoff,2
164,2,"(11, 7)",to_dropoff,6
165,1,"(11, 7)",to_dropoff,2
165,2,"(11, 7)",to_dropoff,6
166,1,"(11, 7)",to_dropoff,2
166,2,"(11, 7)",to_dropoff,6
167,1,"(11, 7)",to_dropoff,2
167,2,"(11, 7)",to_dropoff,6
168,1,"(11, 7)",to_dropoff,2
168,2,"(11, 7)",to_dropoff,6
169,1,"(11, 7)",to_dropoff,2
169,2,"(11, 7)",to_dropoff,6
170,1,"(11, 7)",to_dropoff,2
170,2,"(11, 7)",to_dropoff,6
171,1,"(11, 7)",to_dropoff,2
171,2,"(11, 7)",to_dropoff,6
172,1,"(11, 7)",to_dropoff,2
172,2,"(11, 7)",to_dropoff,6
173,1,"(11, 7)",to_dropoff,2
173,2,"(11, 7)",to_dropoff,6
174,1,"(11, 7)",to_dropoff,2
174,2,"(11, 7)",to_dropoff,6
175,1,"(11, 7)",to_dropoff,2
175,2,"(11, 7)",to_dropoff,6
176,1,"(11, 7)",to_dropoff,2
176,2,"(11, 7)",to_dropoff,6
177,1,"(11, 7)",to_dropoff,2
177,2,"(11, 7)",to_dropoff,6
178,1,"(11, 7)",to_dropoff,2
178,2,"(11, 7)",to_dropoff,6
179,1,"(11, 7)",to_dropoff,2
179,2,"(11, 7)",to_dropoff,6
180,1,"(11, 7)",to_dropoff,2
180,2,"(11, 7)",to_dropoff,6
181,1,"(11, 7)",to_dropoff,2
181,2,"(11, 7)",to_dropoff,6
182,1,"(11, 7)",to_dropoff,2
182,2,"(11, 7)",to_dropoff,6
183,1,"(11, 7)",to_dropoff,2
183,2,"(11, 7)",to_dropoff,6
184,1,"(11, 7)",to_dropoff,2
184,2,"(11, 7)",to_dropoff,6
185,1,"(11, 7)",to_dropoff,2
185,2,"(11, 7)",to_dropoff,6
186,1,"(11, 7)",to_dropoff,2
186,2,"(11, 7)",to_dropoff,6
187,1,"(11, 7)",to_dropoff,2
187,2,"(11, 7)",to_dropoff,6
188,1,"(11, 7)",to_dropoff,2
188,2,"(11, 7)",to_dropoff,6
189,1,"(11, 7)",to_dropoff,2
189,2,"(11, 7)",to_dropoff,6
190,1,"(11, 7)",to_dropoff,2
190,2,"(11, 7)",to_dropoff,6
191,1,"(11, 7)",to_dropoff,2
191,2,"(11, 7)",to_dropoff,6
192,1,"(11, 7)",to_dropoff,2
192,2,"(11, 7)",to_dropoff,6
193,1,"(11, 7)",to_dropoff,2
193,2,"(11, 7)",to_dropoff,6
194,1,"(11, 7)",to_dropoff,2
194,2,"(11, 7)",to_dropoff,6
195,1,"(11, 7)",to_dropoff,2
195,2,"(11, 7)",to_dropoff,6
196,1,"(11, 7)",to_dropoff,2
196,2,"(11, 7)",to_dropoff,6
197,1,"(11, 7)",to_dropoff,2
197,2,"(11, 7)",to_dropoff,6
198,1,"(11, 7)",to_dropoff,2
198,2,"(11, 7)",to_dropoff,6
199,1,"(11, 7)",to_dropoff,2
199,2,"(11, 7)",to_dropoff,6
