time,robot,pos,state,carrying_task
0,1,"(12, 11)",to_dropoff,1
0,2,"(4, 7)",to_dropoff,2
0,3,"(8, 10)",to_dropoff,3
1,1,"(13, 11)",to_dropoff,1
1,2,"(4, 8)",to_dropoff,2
1,3,"(8, 9)",to_dropoff,3
2,1,"(14, 11)",to_dropoff,1
2,2,"(4, 9)",to_dropoff,2
2,3,"(9, 9)",to_dropoff,3
3,1,"(14, 11)",to_dropoff,1
3,2,"(5, 9)",to_dropoff,2
3,3,"(10, 9)",to_dropoff,3
4,1,"(14, 11)",to_dropoff,1
4,2,"(6, 9)",to_dropoff,2
4,3,"(11, 9)",to_dropoff,3
5,1,"(14, 11)",to_dropoff,1
5,2,"(7, 9)",to_dropoff,2
5,3,"(12, 9)",to_dropoff,3
6,1,"(14, 11)",to_dropoff,1
6,2,"(8, 9)",to_dropoff,2
6,3,"(13, 9)",to_dropoff,3
7,1,"(14, 11)",to_dropoff,1
7,2,"(9, 9)",to_dropoff,2
7,3,"(13, 10)",to_dropoff,3
8,1,"(14, 11)",to_dropoff,1
8,2,"(10, 9)",to_dropoff,2
8,3,"(13, 11)",to_dropoff,3
9,1,"(14, 11)",to_dropoff,1
9,2,"(11, 9)",to_dropoff,2
9,3,"(13, 11)",to_dropoff,3
10,1,"(14, 11)",to_dropoff,1
10,2,"(12, 9)",to_dropoff,2
10,3,"(13, 11)",to_dropoff,3
11,1,"(14, 11)",to_dropoff,1
11,2,"(13, 9)",to_dropoff,2
11,3,"(13, 11)",to_dropoff,3
12,1,"(14, 11)",to_dropoff,1
12,2,"(13, 10)",to_dropoff,2
12,3,"(13, 11)",to_dropoff,3
13,1,"(14, 11)",to_dropoff,1
13,2,"(13, 11)",to_dropoff,2
13,3,"(13, 11)",to_dropoff,3
14,1,"(14, 11)",to_dropoff,1
14,2,"(13, 11)",to_dropoff,2
14,3,"(13, 11)",to_dropoff,3
15,1,"(14, 11)",to_dropoff,1
15,2,"(13, 11)",to_dropoff,2
