time,robot,pos,state,carrying_task
0,1,"(5, 9)",to_dropoff,6
0,2,"(2, 7)",to_dropoff,2
1,1,"(5, 10)",to_dropoff,6
1,2,"(2, 8)",to_dropoff,2
2,1,"(5, 11)",to_dropoff,6
2,2,"(2, 9)",to_dropoff,2
3,1,"(6, 11)",to_dropoff,6
3,2,"(2, 10)",to_dropoff,2
4,1,"(7, 11)",to_dropoff,6
4,2,"(2, 11)",to_dropoff,2
5,1,"(7, 11)",to_dropoff,6
5,2,"(3, 11)",to_dropoff,2
6,1,"(7, 11)",to_dropoff,6
6,2,"(4, 11)",to_dropoff,2
7,1,"(7, 11)",to_dropoff,6
7,2,"(5, 11)",to_dropoff,2
8,1,"(7, 11)",to_dropoff,6
8,2,"(6, 11)",to_dropoff,2
9,1,"(7, 11)",to_dropoff,6
9,2,"(6, 11)",to_dropoff,2
10,1,"(7, 11)",to_dropoff,6
10,2,"(6, 11)",to_dropoff,2
11,1,"(7, 11)",to_dropoff,6
11,2,"(6, 11)",to_dropoff,2
12,1,"(7, 11)",to_dropoff,6
12,2,"(6, 11)",to_dropoff,2
13,1,"(7, 11)",to_dropoff,6
13,2,"(6, 11)",to_dropoff,2
14,1,"(7, 11)",to_dropoff,6
14,2,"(6, 11)",to_dropoff,2
15,1,"(7, 11)",to_dropoff,6
15,2,"(6, 11)",to_dropoff,2
16,1,"(7, 11)",to_dropoff,6
16,2,"(6, 11)",to_dropoff,2
17,1,"(7, 11)",to_dropoff,6
17,2,"(6, 11)",to_dropoff,2
18,1,"(7, 11)",to_dropoff,6
18,2,"(6, 11)",to_dropoff,2
19,1,"(7, 11)",to_dropoff,6
19,2,"(6, 11)",to_dropoff,2
20,1,"(7, 11)",to_dropoff,6
20,2,"(6, 11)",to_dropoff,2
21,1,"(7, 11)",to_dropoff,6
21,2,"(6, 11)",to_dropoff,2
22,1,"(7, 11)",to_dropoff,6
22,2,"(6, 11)",to_dropoff,2
23,1,"(7, 11)",to_dropoff,6
23,2,"(6, 11)",to_dropoff,2
24,1,"(7, 11)",to_dropoff,6
24,2,"(6, 11)",to_dropoff,2
25,1,"(7, 11)",to_dropoff,6
25,2,"(6, 11)",to_dropoff,2
26,1,"(7, 11)",to_dropoff,6
26,2,"(6, 11)",to_dropoff,2
27,1,"(7, 11)",to_dropoff,6
27,2,"(6, 11)",to_dropoff,2
28,1,"(7, 11)",to_dropoff,6
28,2,"(6, 11)",to_dropoff,2
29,1,"(7, 11)",to_dropoff,6
29,2,"(6, 11)",to_dropoff,2
30,1,"(7, 11)",to_dropoff,6
30,2,"(6, 11)",to_dropoff,2
31,1,"(7, 11)",to_dropoff,6
31,2,"(6, 11)",to_dropoff,2
32,1,"(7, 11)",to_dropoff,6
32,2,"(6, 11)",to_dropoff,2
33,1,"(7, 11)",to_dropoff,6
33,2,"(6, 11)",to_dropoff,2
34,1,"(7, 11)",to_dropoff,6
34,2,"(6, 11)",to_dropoff,2
35,1,"(7, 11)",to_dropoff,6
35,2,"(6, 11)",to_dropoff,2
36,1,"(7, 11)",to_dropoff,6
36,2,"(6, 11)",to_dropoff,2
37,1,"(7, 11)",to_dropoff,6
37,2,"(6, 11)",to_dropoff,2
38,1,"(7, 11)",to_dropoff,6
38,2,"(6, 11)",to_dropoff,2
39,1,"(7, 11)",to_dropoff,6
39,2,"(6, 11)",to_dropoff,2
40,1,"(7, 11)",to_dropoff,6
40,2,"(6, 11)",to_dropoff,2
41,1,"(7, 11)",to_dropoff,6
41,2,"(6, 11)",to_dropoff,2
42,1,"(7, 11)",to_dropoff,6
42,2,"(6, 11)",to_dropoff,2
