time,robot,pos,state,carrying_task
0,1,"(1, 2)",idle,1
0,2,"(7, 5)",to_dropoff,2
1,1,"(1, 2)",idle,3
1,2,"(7, 5)",to_dropoff,2
2,1,"(1, 2)",idle,4
2,2,"(7, 5)",to_dropoff,2
3,1,"(6, 5)",to_dropoff,5
3,2,"(7, 5)",to_dropoff,2
4,1,"(7, 5)",to_dropoff,5
4,2,"(7, 5)",to_dropoff,2
5,1,"(7, 5)",to_dropoff,5
5,2,"(7, 5)",to_dropoff,2
6,1,"(7, 5)",to_dropoff,5
6,2,"(7, 5)",to_dropoff,2
7,1,"(7, 5)",to_dropoff,5
7,2,"(7, 5)",to_dropoff,2
8,1,"(7, 5)",to_dropoff,5
8,2,"(7, 5)",to_dropoff,2
9,1,"(7, 5)",to_dropoff,5
9,2,"(7, 5)",to_dropoff,2
10,1,"(7, 5)",to_dropoff,5
10,2,"(7, 5)",to_dropoff,2
11,1,"(7, 5)",to_dropoff,5
11,2,"(7, 5)",to_dropoff,2
12,1,"(7, 5)",to_dropoff,5
12,2,"(7, 5)",to_dropoff,2
13,1,"(7, 5)",to_dropoff,5
13,2,"(7, 5)",to_dropoff,2
14,1,"(7, 5)",to_dropoff,5
14,2,"(7, 5)",to_dropoff,2
15,1,"(7, 5)",to_dropoff,5
15,2,"(7, 5)",to_dropoff,2
16,1,"(7, 5)",to_dropoff,5
16,2,"(7, 5)",to_dropoff,2
17,1,"(7, 5)",to_dropoff,5
17,2,"(7, 5)",to_dropoff,2
18,1,"(7, 5)",to_dropoff,5
18,2,"(7, 5)",to_dropoff,2
19,1,"(7, 5)",to_dropoff,5
19,2,"(7, 5)",to_dropoff,2
20,1,"(7, 5)",to_dropoff,5
20,2,"(7, 5)",to_dropoff,2
21,1,"(7, 5)",to_dropoff,5
21,2,"(7, 5)",to_dropoff,2
22,1,"(7, 5)",to_dropoff,5
22,2,"(7, 5)",to_dropoff,2
23,1,"(7, 5)",to_dropoff,5
23,2,"(7, 5)",to_dropoff,2
24,1,"(7, 5)",to_dropoff,5
24,2,"(7, 5)",to_dropoff,2
25,1,"(7, 5)",to_dropoff,5
25,2,"(7, 5)",to_dropoff,2
26,1,"(7, 5)",to_dropoff,5
