time,robot,pos,state,carrying_task
0,1,"(11, 6)",to_dropoff,4
0,2,"(3, 2)",to_dropoff,1
0,3,"(11, 9)",to_dropoff,3
0,4,"(6, 2)",to_dropoff,2
1,1,"(11, 7)",to_dropoff,4
1,2,"(3, 3)",to_dropoff,1
1,3,"(11, 10)",to_dropoff,3
1,4,"(6, 3)",to_dropoff,2
2,1,"(12, 7)",to_dropoff,4
2,2,"(3, 4)",to_dropoff,1
2,3,"(11, 11)",to_dropoff,3
2,4,"(6, 4)",to_dropoff,2
3,1,"(13, 7)",to_dropoff,4
3,2,"(3, 5)",to_dropoff,1
3,3,"(12, 11)",to_dropoff,3
3,4,"(6, 5)",to_dropoff,2
4,1,"(13, 8)",to_dropoff,4
4,2,"(3, 6)",to_dropoff,1
4,3,"(13, 11)",to_dropoff,3
4,4,"(6, 6)",to_dropoff,2
5,1,"(13, 9)",to_dropoff,4
5,2,"(3, 7)",to_dropoff,1
5,3,"(14, 11)",to_dropoff,3
5,4,"(6, 7)",to_dropoff,2
6,1,"(13, 10)",to_dropoff,4
6,2,"(3, 8)",to_dropoff,1
6,3,"(14, 11)",to_dropoff,3
6,4,"(6, 8)",to_dropoff,2
7,1,"(13, 11)",to_dropoff,4
7,2,"(3, 9)",to_dropoff,1
7,3,"(14, 11)",to_dropoff,3
7,4,"(6, 9)",to_dropoff,2
8,1,"(14, 11)",to_dropoff,4
8,2,"(3, 10)",to_dropoff,1
8,3,"(14, 11)",to_dropoff,3
8,4,"(6, 10)",to_dropoff,2
9,1,"(14, 11)",to_dropoff,4
9,2,"(3, 11)",to_dropoff,1
9,3,"(14, 11)",to_dropoff,3
9,4,"(6, 11)",to_dropoff,2
10,1,"(14, 11)",to_dropoff,4
10,2,"(4, 11)",to_dropoff,1
10,3,"(14, 11)",to_dropoff,3
10,4,"(7, 11)",to_dropoff,2
11,1,"(14, 11)",to_dropoff,4
11,2,"(5, 11)",to_dropoff,1
11,3,"(14, 11)",to_dropoff,3
11,4,"(8, 11)",to_dropoff,2
12,1,"(14, 11)",to_dropoff,4
12,2,"(6, 11)",to_dropoff,1
12,3,"(14, 11)",to_dropoff,3
12,4,"(9, 11)",to_dropoff,2
13,1,"(14, 11)",to_dropoff,4
13,2,"(7, 11)",to_dropoff,1
13,3,"(14, 11)",to_dropoff,3
13,4,"(10, 11)",to_dropoff,2
14,1,"(14, 11)",to_dropoff,4
14,2,"(8, 11)",to_dropoff,1
