time,robot,pos,state,carrying_task
0,1,"(11, 11)",to_dropoff,1
0,2,"(8, 2)",idle,2
0,3,"(0, 5)",idle,3
0,4,"(0, 9)",idle,4
1,1,"(11, 11)",to_dropoff,1
1,2,"(5, 4)",to_dropoff,5
1,3,"(0, 5)",idle,3
1,4,"(0, 9)",idle,4
2,1,"(11, 11)",to_dropoff,1
2,2,"(5, 5)",to_dropoff,5
2,3,"(0, 5)",idle,3
2,4,"(0, 9)",idle,4
3,1,"(11, 11)",to_dropoff,1
3,2,"(5, 6)",to_dropoff,5
3,3,"(0, 5)",idle,3
3,4,"(0, 9)",idle,4
4,1,"(11, 11)",to_dropoff,1
4,2,"(5, 7)",to_dropoff,5
4,3,"(0, 5)",idle,3
4,4,"(0, 9)",idle,4
5,1,"(11, 11)",to_dropoff,1
5,2,"(6, 7)",to_dropoff,5
5,3,"(0, 5)",idle,3
5,4,"(0, 9)",idle,4
6,1,"(11, 11)",to_dropoff,1
6,2,"(7, 7)",to_dropoff,5
6,3,"(0, 5)",idle,3
6,4,"(0, 9)",idle,4
7,1,"(11, 11)",to_dropoff,1
7,2,"(7, 8)",to_dropoff,5
7,3,"(0, 5)",idle,3
7,4,"(0, 9)",idle,4
8,1,"(11, 11)",to_dropoff,1
8,2,"(7, 9)",to_dropoff,5
8,3,"(0, 5)",idle,3
8,4,"(0, 9)",idle,4
9,1,"(11, 11)",to_dropoff,1
9,2,"(7, 10)",to_dropoff,5
9,3,"(0, 5)",idle,3
9,4,"(0, 9)",idle,4
10,1,"(11, 11)",to_dropoff,1
10,2,"(7, 11)",to_dropoff,5
10,3,"(0, 5)",idle,3
10,4,"(0, 9)",idle,4
11,1,"(11, 11)",to_dropoff,1
11,2,"(8, 11)",to_dropoff,5
11,3,"(0, 5)",idle,3
11,4,"(0, 9)",idle,4
12,1,"(11, 11)",to_dropoff,1
12,2,"(9, 11)",to_dropoff,5
12,3,"(0, 5)",idle,3
12,4,"(0, 9)",idle,4
13,1,"(11, 11)",to_dropoff,1
13,2,"(10, 11)",to_dropoff,5
13,3,"(0, 5)",idle,3
13,4,"(0, 9)",idle,4
14,1,"(11, 11)",to_dropoff,1
14,2,"(10, 11)",to_dropoff,5
14,3,"(0, 5)",idle,3
14,4,"(0, 9)",idle,4
15,1,"(11, 11)",to_dropoff,1
15,2,"(10, 11)",to_dropoff,5
15,3,"(0, 5)",idle,3
15,4,"(0, 9)",idle,4
16,1,"(11, 11)",to_dropoff,1
16,2,"(10, 11)",to_dropoff,5
16,3,"(0, 5)",idle,3
16,4,"(0, 9)",idle,4
17,1,"(11, 11)",to_dropoff,1
17,2,"(10, 11)",to_dropoff,5
17,3,"(0, 5)",idle,3
17,4,"(0, 9)",idle,4
18,1,"(11, 11)",to_dropoff,1
18,2,"(10, 11)",to_dropoff,5
18,3,"(0, 5)",idle,3
18,4,"(0, 9)",idle,4
19,1,"(11, 11)",to_dropoff,1
19,2,"(10, 11)",to_dropoff,5
19,3,"(0, 5)",idle,3
19,4,"(0, 9)",idle,4
20,1,"(11, 11)",to_dropoff,1
20,2,"(10, 11)",to_dropoff,5
20,3,"(0, 5)",idle,3
20,4,"(0, 9)",idle,4
21,1,"(11, 11)",to_dropoff,1
21,2,"(10, 11)",to_dropoff,5
21,3,"(0, 5)",idle,3
21,4,"(0, 9)",idle,4
22,1,"(11, 11)",to_dropoff,1
22,2,"(10, 11)",to_dropoff,5
22,3,"(0, 5)",idle,3
22,4,"(0, 9)",idle,4
23,1,"(11, 11)",to_dropoff,1
23,2,"(10, 11)",to_dropoff,5
23,3,"(0, 5)",idle,3
23,4,"(0, 9)",idle,4
24,1,"(11, 11)",to_dropoff,1
24,2,"(10, 11)",to_dropoff,5
24,3,"(0, 5)",idle,3
24,4,"(0, 9)",idle,4
25,1,"(11, 11)",to_dropoff,1
25,2,"(10, 11)",to_dropoff,5
25,3,"(0, 5)",idle,3
25,4,"(0, 9)",idle,4
26,1,"(11, 11)",to_dropoff,1
26,2,"(10, 11)",to_dropoff,5
26,3,"(0, 5)",idle,3
26,4,"(0, 9)",idle,4
27,1,"(11, 11)",to_dropoff,1
27,2,"(10, 11)",to_dropoff,5
27,3,"(0, 5)",idle,3
27,4,"(0, 9)",idle,4
28,1,"(11, 11)",to_dropoff,1
28,2,"(10, 11)",to_dropoff,5
28,3,"(0, 5)",idle,3
28,4,"(0, 9)",idle,4
29,1,"(11, 11)",to_dropoff,1
29,2,"(10, 11)",to_dropoff,5
29,3,"(0, 5)",idle,3
29,4,"(0, 9)",idle,4
30,1,"(11, 11)",to_dropoff,1
30,2,"(10, 11)",to_dropoff,5
30,3,"(0, 5)",idle,3
30,4,"(0, 9)",idle,4
31,1,"(11, 11)",to_dropoff,1
31,2,"(10, 11)",to_dropoff,5
31,3,"(0, 5)",idle,3
31,4,"(0, 9)",idle,4
32,1,"(11, 11)",to_dropoff,1
