time,robot,pos,state,carrying_task
0,1,"(6, 4)",to_dropoff,1
0,2,"(1, 1)",to_dropoff,2
0,3,"(10, 7)",to_dropoff,3
0,4,"(5, 3)",to_dropoff,4
1,1,"(6, 5)",to_dropoff,1
1,2,"(1, 2)",to_dropoff,2
1,3,"(9, 7)",to_dropoff,3
1,4,"(5, 4)",to_dropoff,4
2,1,"(6, 6)",to_dropoff,1
2,2,"(1, 3)",to_dropoff,2
2,3,"(9, 8)",to_dropoff,3
2,4,"(5, 5)",to_dropoff,4
3,1,"(6, 7)",to_dropoff,1
3,2,"(2, 3)",to_dropoff,2
3,3,"(9, 9)",to_dropoff,3
3,4,"(5, 6)",to_dropoff,4
4,1,"(6, 8)",to_dropoff,1
4,2,"(2, 4)",to_dropoff,2
4,3,"(10, 9)",to_dropoff,3
4,4,"(5, 7)",to_dropoff,4
5,1,"(6, 9)",to_dropoff,1
5,2,"(2, 5)",to_dropoff,2
5,3,"(11, 9)",to_dropoff,3
5,4,"(5, 8)",to_dropoff,4
6,1,"(7, 9)",to_dropoff,1
6,2,"(2, 6)",to_dropoff,2
6,3,"(11, 9)",to_dropoff,3
6,4,"(5, 9)",to_dropoff,4
7,1,"(8, 9)",to_dropoff,1
7,2,"(2, 7)",to_dropoff,2
7,3,"(11, 9)",to_dropoff,3
7,4,"(6, 9)",to_dropoff,4
8,1,"(9, 9)",to_dropoff,1
8,2,"(2, 8)",to_dropoff,2
8,3,"(11, 9)",to_dropoff,3
8,4,"(7, 9)",to_dropoff,4
9,1,"(10, 9)",to_dropoff,1
9,2,"(2, 9)",to_dropoff,2
9,3,"(11, 9)",to_dropoff,3
9,4,"(8, 9)",to_dropoff,4
10,1,"(11, 9)",to_dropoff,1
10,2,"(3, 9)",to_dropoff,2
10,3,"(11, 9)",to_dropoff,3
10,4,"(9, 9)",to_dropoff,4
11,1,"(11, 9)",to_dropoff,1
11,2,"(4, 9)",to_dropoff,2
11,3,"(11, 9)",to_dropoff,3
11,4,"(10, 9)",to_dropoff,4
12,1,"(11, 9)",to_dropoff,1
12,2,"(5, 9)",to_dropoff,2
12,3,"(11, 9)",to_dropoff,3
12,4,"(10, 9)",to_dropoff,4
13,1,"(11, 9)",to_dropoff,1
13,2,"(6, 9)",to_dropoff,2
13,3,"(11, 9)",to_dropoff,3
13,4,"(10, 9)",to_dropoff,4
14,1,"(11, 9)",to_dropoff,1
14,2,"(7, 9)",to_dropoff,2
14,3,"(11, 9)",to_dropoff,3
14,4,"(10, 9)",to_dropoff,4
15,1,"(11, 9)",to_dropoff,1
15,2,"(8, 9)",to_dropoff,2
15,3,"(11, 9)",to_dropoff,3
15,4,"(10, 9)",to_dropoff,4
16,1,"(11, 9)",to_dropoff,1
16,2,"(9, 9)",to_dropoff,2
16,3,"(11, 9)",to_dropoff,3
16,4,"(10, 9)",to_dropoff,4
17,1,"(11, 9)",to_dropoff,1
17,2,"(10, 9)",to_dropoff,2
17,3,"(11, 9)",to_dropoff,3
17,4,"(10, 9)",to_dropoff,4
18,1,"(11, 9)",to_dropoff,1
18,2,"(10, 9)",to_dropoff,2
18,3,"(11, 9)",to_dropoff,3
18,4,"(10, 9)",to_dropoff,4
19,1,"(11, 9)",to_dropoff,1
19,2,"(10, 9)",to_dropoff,2
19,3,"(11, 9)",to_dropoff,3
19,4,"(10, 9)",to_dropoff,4
20,1,"(11, 9)",to_dropoff,1
20,2,"(10, 9)",to_dropoff,2
20,3,"(11, 9)",to_dropoff,3
20,4,"(10, 9)",to_dropoff,4
21,1,"(11, 9)",to_dropoff,1
21,2,"(10, 9)",to_dropoff,2
21,3,"(11, 9)",to_dropoff,3
21,4,"(10, 9)",to_dropoff,4
22,1,"(11, 9)",to_dropoff,1
22,2,"(10, 9)",to_dropoff,2
22,3,"(11, 9)",to_dropoff,3
22,4,"(10, 9)",to_dropoff,4
23,1,"(11, 9)",to_dropoff,1
23,2,"(10, 9)",to_dropoff,2
23,3,"(11, 9)",to_dropoff,3
23,4,"(10, 9)",to_dropoff,4
24,1,"(11, 9)",to_dropoff,1
24,2,"(10, 9)",to_dropoff,2
24,3,"(11, 9)",to_dropoff,3
