time,robot,pos,state,carrying_task
0,1,"(3, 3)",to_dropoff,1
0,2,"(18, 2)",to_dropoff,2
0,3,"(17, 1)",to_dropoff,3
0,4,"(1, 11)",to_dropoff,4
0,5,"(4, 5)",to_dropoff,5
1,1,"(3, 4)",to_dropoff,1
1,2,"(18, 3)",to_dropoff,2
1,3,"(17, 2)",to_dropoff,3
1,4,"(1, 12)",to_dropoff,4
1,5,"(4, 6)",to_dropoff,5
2,1,"(3, 5)",to_dropoff,1
2,2,"(18, 4)",to_dropoff,2
2,3,"(17, 3)",to_dropoff,3
2,4,"(1, 13)",to_dropoff,4
2,5,"(4, 7)",to_dropoff,5
3,1,"(3, 6)",to_dropoff,1
3,2,"(18, 5)",to_dropoff,2
3,3,"(17, 4)",to_dropoff,3
3,4,"(2, 13)",to_dropoff,4
3,5,"(4, 8)",to_dropoff,5
4,1,"(3, 7)",to_dropoff,1
4,2,"(18, 6)",to_dropoff,2
4,3,"(17, 5)",to_dropoff,3
4,4,"(3, 13)",to_dropoff,4
4,5,"(4, 9)",to_dropoff,5
5,1,"(3, 8)",to_dropoff,1
5,2,"(18, 7)",to_dropoff,2
5,3,"(17, 6)",to_dropoff,3
5,4,"(4, 13)",to_dropoff,4
5,5,"(4, 10)",to_dropoff,5
6,1,"(3, 9)",to_dropoff,1
6,2,"(18, 8)",to_dropoff,2
6,3,"(17, 7)",to_dropoff,3
6,4,"(5, 13)",to_dropoff,4
6,5,"(4, 11)",to_dropoff,5
7,1,"(4, 9)",to_dropoff,1
7,2,"(18, 9)",to_dropoff,2
7,3,"(17, 8)",to_dropoff,3
7,4,"(6, 13)",to_dropoff,4
7,5,"(4, 12)",to_dropoff,5
8,1,"(4, 10)",to_dropoff,1
8,2,"(18, 10)",to_dropoff,2
8,3,"(17, 9)",to_dropoff,3
8,4,"(7, 13)",to_dropoff,4
8,5,"(4, 13)",to_dropoff,5
9,1,"(4, 11)",to_dropoff,1
9,2,"(18, 11)",to_dropoff,2
9,3,"(17, 10)",to_dropoff,3
9,4,"(8, 13)",to_dropoff,4
9,5,"(5, 13)",to_dropoff,5
10,1,"(4, 12)",to_dropoff,1
10,2,"(19, 11)",to_dropoff,2
10,3,"(17, 11)",to_dropoff,3
10,4,"(9, 13)",to_dropoff,4
10,5,"(6, 13)",to_dropoff,5
11,1,"(4, 13)",to_dropoff,1
11,2,"(19, 12)",to_dropoff,2
11,3,"(17, 12)",to_dropoff,3
11,4,"(10, 13)",to_dropoff,4
11,5,"(7, 13)",to_dropoff,5
12,1,"(5, 13)",to_dropoff,1
12,2,"(19, 13)",to_dropoff,2
12,3,"(17, 13)",to_dropoff,3
12,4,"(11, 13)",to_dropoff,4
12,5,"(8, 13)",to_dropoff,5
13,1,"(6, 13)",to_dropoff,1
13,2,"(19, 14)",to_dropoff,2
13,3,"(17, 14)",to_dropoff,3
13,4,"(12, 13)",to_dropoff,4
13,5,"(9, 13)",to_dropoff,5
14,1,"(7, 13)",to_dropoff,1
14,2,"(19, 14)",to_dropoff,2
14,3,"(18, 14)",to_dropoff,3
14,4,"(13, 13)",to_dropoff,4
14,5,"(10, 13)",to_dropoff,5
15,1,"(8, 13)",to_dropoff,1
15,2,"(19, 14)",to_dropoff,2
15,3,"(18, 14)",to_dropoff,3
15,4,"(14, 13)",to_dropoff,4
15,5,"(11, 13)",to_dropoff,5
16,1,"(9, 13)",to_dropoff,1
16,2,"(19, 14)",to_dropoff,2
16,3,"(18, 14)",to_dropoff,3
16,4,"(15, 13)",to_dropoff,4
16,5,"(12, 13)",to_dropoff,5
17,1,"(10, 13)",to_dropoff,1
17,2,"(19, 14)",to_dropoff,2
17,3,"(18, 14)",to_dropoff,3
17,4,"(16, 13)",to_dropoff,4
17,5,"(13, 13)",to_dropoff,5
18,1,"(11, 13)",to_dropoff,1
18,2,"(19, 14)",to_dropoff,2
18,3,"(18, 14)",to_dropoff,3
18,4,"(16, 14)",to_dropoff,4
18,5,"(14, 13)",to_dropoff,5
19,1,"(12, 13)",to_dropoff,1
19,2,"(19, 14)",to_dropoff,2
19,3,"(18, 14)",to_dropoff,3
19,4,"(17, 14)",to_dropoff,4
19,5,"(15, 13)",to_dropoff,5
20,1,"(13, 13)",to_dropoff,1
20,2,"(19, 14)",to_dropoff,2
20,3,"(18, 14)",to_dropoff,3
20,4,"(17, 14)",to_dropoff,4
20,5,"(16, 13)",to_dropoff,5
